## 4. Backlog

| ID            | Tarea                                                        | Responsable   | Prioridad | Dependencias                      |
| ------------- | ------------------------------------------------------------ | ------------- | --------- | --------------------------------- |
| T1            | Definir schema de datos del proyecto (dossier)               | Miembro 4 + 5 | Alta      | Ninguna                           |
| T2            | Scaffolding del repo (contracts/frontend/backend workspaces) | Miembro 1     | Alta      | Ninguna                           |
| T3            | Escribir EscrowContract.sol (deposit + release por hito)     | Miembro 1     | Alta      | T2                                |
| T4            | Diseñar y compilar circuito Noir de elegibilidad             | Miembro 2     | Alta      | T2                                |
| T5            | Generar/deployar ZK Verifier contract                        | Miembro 2     | Alta      | T4                                |
| T6            | API backend: crear/listar proyectos                          | Miembro 4     | Alta      | T1                                |
| T7            | Vista Developer: formulario crear proyecto                   | Miembro 3     | Alta      | T6 (mock hasta que T6 esté listo) |
| T8            | Vista Investor: conectar wallet + depositar                  | Miembro 3     | Alta      | T3 (mock ABI hasta deploy)        |
| T9            | UI de generación de prueba ZK en frontend                    | Miembro 3 + 2 | Alta      | T4, T5                            |
| T10           | Vista Verifier: botón aprobar hito                           | Miembro 3     | Media     | T3                                |
| T11           | Deploy contratos a testnet L2                                | Miembro 1     | Alta      | T3, T5                            |
| T12           | Integración frontend ↔ contratos deployados                  | Miembro 5     | Alta      | T11, T7, T8, T10                  |
| T13           | Integración frontend ↔ backend                               | Miembro 5     | Alta      | T6, T7                            |
| T14           | Dashboard de estado (balance, hitos, historial)              | Miembro 3     | Media     | T12                               |
| T15           | Datos semilla para demo (proyecto + inversionista de prueba) | Miembro 4     | Media     | T6                                |
| T16           | Pruebas end-to-end del flujo completo                        | Miembro 5     | Alta      | T12, T13                          |
| T17           | Guion y ensayo de pitch/demo                                 | Miembro 5     | Media     | T16                               |
| T18 (stretch) | Subida de docs a IPFS + hash on-chain                        | Miembro 4     | Baja      | T3                                |
| T19 (stretch) | Waterfall automático de repayment                            | Miembro 1     | Baja      | T11                               |
